stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.195538,1,,-123.126062,99907,https://translink.ca/schedules-and-maps/station/bridgeport/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=bridgeport,,,Bridgeport Station,1,ZN 2
49.196715,1,61387,-123.146335,11296,,99903,,Templeton Station @ Platform 2,0,ZN 2
49.196688,1,,-123.146337,99903,https://translink.ca/schedules-and-maps/station/templeton/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=templeton,,,Templeton Station,1,CL_AD
49.193053,1,61389,-123.157851,11298,,99902,,Sea Island Centre Station @ Platform 2,0,ZN 2
49.192986,1,,-123.157887,99902,https://translink.ca/schedules-and-maps/station/sea-island-centre/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=sea-island-centre,,,Sea Island Centre Station,1,CL_AD
49.194189,1,61391,-123.178251,11300,,99901,,YVR-Airport Station @ Canada Line,0,ZN 2
49.194174,1,,-123.178269,99901,https://translink.ca/schedules-and-maps/station/yvr-airport/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=yvr-airport,,,YVR-Airport Station,1,CL_AD
49.189163,1,60675,-123.131956,12947,,99959,,Capstan Station @ Platform 2,0,ZN 2
49.189147,1,,-123.131862,99959,https://translink.ca/schedules-and-maps/station/capstan/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=capstan,,,Capstan Station,1,ZN 2
49.184,1,61381,-123.136398,11290,,99906,,Aberdeen Station @ Platform 2,0,ZN 2
49.184,1,,-123.136325,99906,https://translink.ca/schedules-and-maps/station/aberdeen/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=aberdeen,,,Aberdeen Station,1,ZN 2
49.174762,1,61383,-123.136507,11292,,99905,,Lansdowne Station @ Platform 2,0,ZN 2
49.174665,1,,-123.136475,99905,https://translink.ca/schedules-and-maps/station/lansdowne/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=lansdowne,,,Lansdowne Station,1,ZN 2
49.168092,1,61385,-123.136247,11294,,99904,,Richmond-Brighouse Station @ Canada Line,0,ZN 2
49.167943,1,,-123.136372,99904,https://translink.ca/schedules-and-maps/station/richmond-brighouse/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=richmond-brighouse,,,Richmond-Brighouse Station,1,ZN 2
49.194177,1,61392,-123.178108,11301,,99901,,YVR-Airport Station @ Platform 1,0,CL_AD
49.19293,1,61390,-123.157884,11299,,99902,,Sea Island Centre Station @ Platform 1,0,CL_AD
49.196655,1,61388,-123.146307,11297,,99903,,Templeton Station @ Platform 1,0,CL_AD
49.195514,1,61380,-123.126006,11289,,99907,,Bridgeport Station @ Platform 1,0,ZN 2
49.209663,1,61378,-123.116921,11287,,99908,,Marine Drive Station @ Platform 1,0,ZN 1
49.225709,1,61376,-123.116289,11285,,99909,,Langara-49th Avenue Station @ Platform 1,0,ZN 1
49.233731,1,61374,-123.116176,11283,,99910,,Oakridge-41st Avenue Station @ Platform 1,0,ZN 1
49.249172,1,61372,-123.115228,11281,,99911,,King Edward Station @ Platform 1,0,ZN 1
49.262725,1,61370,-123.114753,11279,,99912,,Broadway-City Hall Station @ Platform 1,0,ZN 1
49.266557,1,61368,-123.115527,11277,,99913,,Olympic Village Station @ Platform 1,0,ZN 1
49.274508,1,61366,-123.122015,11275,,99914,,Yaletown-Roundhouse Station @ Platform 1,0,ZN 1
49.282352,1,61364,-123.118143,11273,,99915,,Vancouver City Centre Station @ Platform 1,0,ZN 1
49.285093,1,61394,-123.114139,11303,,12034,,Waterfront Station @ Platform 5,0,ZN 1
49.168092,1,61386,-123.136174,11295,,99904,,Richmond-Brighouse Station @ Platform 1,0,ZN 2
49.174766,1,61384,-123.136322,11293,,99905,,Lansdowne Station @ Platform 1,0,ZN 2
49.183991,1,61382,-123.13622,11291,,99906,,Aberdeen Station @ Platform 1,0,ZN 2
49.189131,1,60674,-123.131869,12946,,99959,,Capstan Station @ Platform 1,0,ZN 2
49.265799,1,60825,-123.079054,10374,,99916,,VCC-Clark Station @ Platform 2,0,ZN 1
49.265845,1,,-123.079069,99916,https://translink.ca/schedules-and-maps/station/vcc-clark/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=vcc-clark,,,VCC-Clark Station,1,ZN 1
49.262912,1,60823,-123.068491,8763,,99917,,Commercial-Broadway Station @ Platform 2,0,ZN 1
49.26267,1,,-123.068765,99917,https://translink.ca/schedules-and-maps/station/commercial-broadway/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=commercial-broadway,,,Commercial-Broadway Station,1,ZN 1
49.258877,1,60821,-123.045348,8762,,99918,,Renfrew Station @ Platform 2,0,ZN 1
49.258913,1,,-123.045379,99918,https://translink.ca/schedules-and-maps/station/renfrew/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=renfrew,,,Renfrew Station,1,ZN 1
49.260733,1,60819,-123.032821,8761,,99919,,Rupert Station @ Platform 2,0,ZN 1
49.260784,1,,-123.032867,99919,https://translink.ca/schedules-and-maps/station/rupert/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=rupert,,,Rupert Station,1,ZN 1
49.264931,1,60817,-123.013498,8760,,99920,,Gilmore Station @ Platform 2,0,ZN 2
49.264974,1,,-123.013554,99920,https://translink.ca/schedules-and-maps/station/gilmore/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=gilmore,,,Gilmore Station,1,ZN 2
49.266352,1,60815,-123.001813,8759,,99921,,Brentwood Town Centre Station @ Platform 2,0,ZN 2
49.266396,1,,-123.001829,99921,https://translink.ca/schedules-and-maps/station/brentwood-town-centre/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=brentwood-town-centre,,,Brentwood Town Centre Station,1,ZN 2
49.264705,1,60813,-122.982158,8758,,99922,,Holdom Station @ Platform 2,0,ZN 2
49.264734,1,,-122.982169,99922,https://translink.ca/schedules-and-maps/station/holdom/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=holdom,,,Holdom Station,1,ZN 2
49.259154,1,60811,-122.963991,8757,,99923,,Sperling-Burnaby Lake Station @ Platform 2,0,ZN 2
49.259195,1,,-122.963998,99923,https://translink.ca/schedules-and-maps/station/sperling-burnaby-lake/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=sperling-burnaby-lake,,,Sperling-Burnaby Lake Station,1,ZN 2
49.254609,1,60809,-122.939183,9511,,99924,,Lake City Way Station @ Platform 2,0,ZN 2
49.254635,1,,-122.939192,99924,https://translink.ca/schedules-and-maps/station/lake-city-way/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=lake-city-way,,,Lake City Way Station,1,ZN 2
49.253364,1,60807,-122.918218,8756,,99925,,Production Way-University Station @ Platform 2,0,ZN 2
49.253416,1,,-122.918223,99925,https://translink.ca/schedules-and-maps/station/production-way-university/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=production-way-university,,,Production Way-University Station,1,ZN 2
49.248484,1,60805,-122.896952,8755,,99926,,Lougheed Town Centre Station @ Platform 1,0,ZN 2
49.248512,1,,-122.896805,99926,https://translink.ca/schedules-and-maps/station/lougheed-town-centre/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=lougheed-town-centre,,,Lougheed Town Centre Station,1,ZN 2
49.261375,1,60086,-122.889784,12229,,99927,,Burquitlam Station @ Platform 2,0,ZN 3
49.261403,1,,-122.889834,99927,https://translink.ca/schedules-and-maps/station/burquitlam/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=burquitlam,,,Burquitlam Station,1,ZN 3
49.277941,1,60088,-122.845608,12231,,99928,,Moody Centre Station @ Platform 2,0,ZN 3
49.278012,1,,-122.846034,99928,https://translink.ca/schedules-and-maps/station/moody-centre/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=moody-centre,,,Moody Centre Station,1,ZN 3
49.277118,1,60090,-122.828183,12233,,99929,,Inlet Centre Station @ Platform 2,0,ZN 3
49.27721,1,,-122.828187,99929,https://translink.ca/schedules-and-maps/station/inlet-centre/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=inlet-centre,,,Inlet Centre Station,1,ZN 3
49.274738,1,60092,-122.800643,12235,,99930,,Coquitlam Central Station @ Platform 2,0,ZN 3
49.27434,1,,-122.800421,99930,https://translink.ca/schedules-and-maps/station/coquitlam-central/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=coquitlam-central,,,Coquitlam Central Station,1,ZN 3
49.28041,1,60094,-122.793805,12237,,99931,,Lincoln Station @ Platform 2,0,ZN 3
49.280423,1,,-122.793917,99931,https://translink.ca/schedules-and-maps/station/lincoln/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=lincoln,,,Lincoln Station,1,ZN 3
49.285693,1,60096,-122.791435,12239,,99932,,Lafarge Lake-Douglas Station @ Platform 2,0,ZN 3
49.285718,1,,-122.791541,99932,https://translink.ca/schedules-and-maps/station/lafarge-lake-douglas/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=lafarge-lake-douglas,,,Lafarge Lake-Douglas Station,1,ZN 3
49.182812,1,57984,-122.844691,8059,,99952,,King George Station @ Platform 1,0,ZN 3
49.18279,1,,-122.844737,99952,https://translink.ca/schedules-and-maps/station/king-george/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=king-george,,,King George Station,1,ZN 3
49.189561,1,57985,-122.847796,8060,,99951,,Surrey Central Station @ Platform 1,0,ZN 3
49.189562,1,,-122.847868,99951,https://translink.ca/schedules-and-maps/station/surrey-central/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=surrey-central,,,Surrey Central Station,1,ZN 3
49.198955,1,57986,-122.850542,8061,,99950,,Gateway Station @ Platform 1,0,ZN 3
49.198955,1,,-122.85061,99950,https://translink.ca/schedules-and-maps/station/gateway/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=gateway,,,Gateway Station,1,ZN 3
49.204448,1,57987,-122.874185,8062,,99949,,Scott Road Station @ Platform 1,0,ZN 3
49.20442,1,,-122.874197,99949,https://translink.ca/schedules-and-maps/station/scott-road/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=scott-road,,,Scott Road Station,1,ZN 3
49.204859,1,57988,-122.906187,8063,,99946,,Columbia Station @ Platform 1,0,ZN 2
49.20483,1,,-122.906175,99946,https://translink.ca/schedules-and-maps/station/columbia/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=columbia,,,Columbia Station,1,ZN 2
49.201459,1,57989,-122.912629,8064,,99945,,New Westminster Station @ Platform 1,0,ZN 2
49.201437,1,,-122.912614,99945,https://translink.ca/schedules-and-maps/station/new-westminster/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=new-westminster,,,New Westminster Station,1,ZN 2
49.200083,1,57990,-122.948971,8065,,99944,,22nd Street Station @ Platform 1,0,ZN 2
49.200059,1,,-122.94898,99944,https://translink.ca/schedules-and-maps/station/22nd-street/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=22nd-street,,,22nd Street Station,1,ZN 2
49.211945,1,57991,-122.95904,8066,,99943,,Edmonds Station @ Platform 1,0,ZN 2
49.211936,1,,-122.959104,99943,https://translink.ca/schedules-and-maps/station/edmonds/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=edmonds,,,Edmonds Station,1,ZN 2
49.22011,1,57992,-122.98844,8067,,99942,,Royal Oak Station @ Platform 1,0,ZN 2
49.220068,1,,-122.98848,99942,https://translink.ca/schedules-and-maps/station/royal-oak/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=royal-oak,,,Royal Oak Station,1,ZN 2
49.225852,1,57993,-123.003876,8068,,99941,,Metrotown Station @ Platform 1,0,ZN 2
49.225825,1,,-123.00392,99941,https://translink.ca/schedules-and-maps/station/metrotown/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=metrotown,,,Metrotown Station,1,ZN 2
49.229798,1,57994,-123.012613,8069,,99940,,Patterson Station @ Platform 1,0,ZN 2
49.229626,1,,-123.01267,99940,https://translink.ca/schedules-and-maps/station/patterson/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=patterson,,,Patterson Station,1,ZN 2
49.23843,1,57995,-123.031759,8070,,99939,,Joyce-Collingwood Station @ Platform 1,0,ZN 1
49.238398,1,,-123.031811,99939,https://translink.ca/schedules-and-maps/station/joyce-collingwood/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=joyce-collingwood,,,Joyce-Collingwood Station,1,ZN 1
49.24431,1,57996,-123.04608,8071,,99938,,29th Avenue Station @ Platform 1,0,ZN 1
49.244283,1,,-123.046113,99938,https://translink.ca/schedules-and-maps/station/29th-avenue/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=29th-avenue,,,29th Avenue Station,1,ZN 1
49.248334,1,57997,-123.055868,8072,,99937,,Nanaimo Station @ Platform 1,0,ZN 1
49.248321,1,,-123.055908,99937,https://translink.ca/schedules-and-maps/station/nanaimo/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=nanaimo,,,Nanaimo Station,1,ZN 1
49.262311,1,57998,-123.069077,8073,,99917,,Commercial-Broadway Station @ Platform 3,0,ZN 1
49.273172,1,57999,-123.10035,8074,,99936,,Main Street-Science World Station @ Platform 1,0,ZN 1
49.273137,1,,-123.100392,99936,https://translink.ca/schedules-and-maps/station/main-street-science-world/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=main-street-science-world,,,Main Street-Science World Station,1,ZN 1
49.279271,1,58000,-123.109109,8075,,99935,,Stadium-Chinatown Station @ Platform 1,0,ZN 1
49.279223,1,,-123.109181,99935,https://translink.ca/schedules-and-maps/station/stadium-chinatown/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=stadium-chinatown,,,Stadium-Chinatown Station,1,ZN 1
49.283193,1,58001,-123.115674,8076,,99934,,Granville Station @ Platform 1,0,ZN 1
49.283173,1,,-123.115721,99934,https://translink.ca/schedules-and-maps/station/granville/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=granville,,,Granville Station,1,ZN 1
49.28558,1,58002,-123.119598,8077,,99933,,Burrard Station @ Platform 1,0,ZN 1
49.285614,1,,-123.119557,99933,https://translink.ca/schedules-and-maps/station/burrard/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=burrard,,,Burrard Station,1,ZN 1
49.285962,1,58003,-123.111516,8078,,12034,,Waterfront Station @ Platform 1,0,ZN 1
49.233236,1,60802,-122.882831,8577,,99948,,Braid Station @ Platform 1,0,ZN 2
49.233244,1,,-122.8828,99948,https://translink.ca/schedules-and-maps/station/braid/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=braid,,,Braid Station,1,ZN 2
49.2247,1,60800,-122.889424,8579,,99947,,Sapperton Station @ Platform 1,0,ZN 2
49.224662,1,,-122.889393,99947,https://translink.ca/schedules-and-maps/station/sapperton/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=sapperton,,,Sapperton Station,1,ZN 2
49.285743,1,60095,-122.791623,12238,,99932,,Lafarge Lake-Douglas Station @ Platform 1,0,ZN 3
49.280417,1,60093,-122.794097,12236,,99931,,Lincoln Station @ Platform 1,0,ZN 3
49.274919,1,60091,-122.800551,12234,,99930,,Coquitlam Central Station @ Platform 1,0,ZN 3
49.277294,1,60089,-122.828164,12232,,99929,,Inlet Centre Station @ Platform 1,0,ZN 3
49.27798,1,60087,-122.845609,12230,,99928,,Moody Centre Station @ Platform 1,0,ZN 3
49.261421,1,60085,-122.889853,12228,,99927,,Burquitlam Station @ Platform 1,0,ZN 3
49.248611,1,60084,-122.896818,12227,,99926,,Lougheed Town Centre Station @ Platform 3,0,ZN 2
49.253465,1,60806,-122.918191,8747,,99925,,Production Way-University Station @ Platform 1,0,ZN 2
49.254654,1,60808,-122.939183,9510,,99924,,Lake City Way Station @ Platform 1,0,ZN 2
49.259213,1,60810,-122.963982,8748,,99923,,Sperling-Burnaby Lake Station @ Platform 1,0,ZN 2
49.264753,1,60812,-122.982149,8749,,99922,,Holdom Station @ Platform 1,0,ZN 2
49.266431,1,60814,-123.001813,8750,,99921,,Brentwood Town Centre Station @ Platform 1,0,ZN 2
49.265002,1,60816,-123.013571,8751,,99920,,Gilmore Station @ Platform 1,0,ZN 2
49.260815,1,60818,-123.032869,8752,,99919,,Rupert Station @ Platform 1,0,ZN 1
49.258942,1,60820,-123.045374,8753,,99918,,Renfrew Station @ Platform 1,0,ZN 1
49.26298,1,60822,-123.068426,8754,,99917,,Commercial-Broadway Station @ Platform 1,0,ZN 1
49.265873,1,60824,-123.079049,10375,,99916,,VCC-Clark Station @ Platform 1,0,ZN 1
49.285907,1,57964,-123.111578,8039,,12034,,Waterfront Station @ Platform 2,0,ZN 1
49.285634,1,60826,-123.119515,8040,,99933,,Burrard Station @ Platform 2,0,ZN 1
49.283136,1,57966,-123.115744,8041,,99934,,Granville Station @ Platform 2,0,ZN 1
49.279178,1,57967,-123.109213,8042,,99935,,Stadium-Chinatown Station @ Platform 2,0,ZN 1
49.273099,1,57968,-123.100399,8043,,99936,,Main Street-Science World Station @ Platform 2,0,ZN 1
49.262317,1,57969,-123.069179,8044,,99917,,Commercial-Broadway Station @ Platform 4,0,ZN 1
49.248283,1,57970,-123.055904,8045,,99937,,Nanaimo Station @ Platform 2,0,ZN 1
49.244236,1,57971,-123.046136,8046,,99938,,29th Avenue Station @ Platform 2,0,ZN 1
49.238353,1,57972,-123.031827,8047,,99939,,Joyce-Collingwood Station @ Platform 2,0,ZN 1
49.229712,1,57973,-123.012678,8048,,99940,,Patterson Station @ Platform 2,0,ZN 2
49.225781,1,57974,-123.00394,8049,,99941,,Metrotown Station @ Platform 2,0,ZN 2
49.220013,1,57975,-122.988475,8050,,99942,,Royal Oak Station @ Platform 2,0,ZN 2
49.211909,1,57976,-122.959156,8051,,99943,,Edmonds Station @ Platform 2,0,ZN 2
49.200021,1,57977,-122.94894,8052,,99944,,22nd Street Station @ Platform 2,0,ZN 2
49.201406,1,57978,-122.912573,8053,,99945,,New Westminster Station @ Platform 2,0,ZN 2
49.204778,1,57979,-122.906118,8054,,99946,,Columbia Station @ Platform 2,0,ZN 2
49.224621,1,60801,-122.889311,8580,,99947,,Sapperton Station @ Platform 2,0,ZN 2
49.233236,1,60803,-122.882718,8578,,99948,,Braid Station @ Platform 2,0,ZN 2
49.248549,1,60804,-122.896879,8746,,99926,,Lougheed Town Centre Station @ Platform 2,0,ZN 2
49.204383,1,57980,-122.874171,8055,,99949,,Scott Road Station @ Platform 2,0,ZN 3
49.198946,1,57981,-122.850673,8056,,99950,,Gateway Station @ Platform 2,0,ZN 3
49.189549,1,57982,-122.847914,8057,,99951,,Surrey Central Station @ Platform 2,0,ZN 3
49.182755,1,57983,-122.844744,8058,,99952,,King George Station @ Platform 2,0,ZN 3
